Class,Atom,Snippet,Line
com.google.common.jimfs.WindowsPathType,Conditional Operator,((root == null) || (root.length() > 3)) ? 0 : root.length(),83
com.google.common.jimfs.WindowsPathType,Logic as Control Flow,((root == null) || (root.length() > 3)) ? 0 : root.length(),83
com.google.common.jimfs.WindowsPathType,Logic as Control Flow,if (directory && (builder.charAt(builder.length() - 1) != '/')) {     builder.append('/'); },191
com.google.common.jimfs.WindowsPathType,Logic as Control Flow,if ((uriPath.charAt(0) == '\\') && (uriPath.charAt(1) != '\\')) {     uriPath = uriPath.substring(1); },201
com.google.common.jimfs.UserLookupService,Logic as Control Flow,return (obj instanceof JimfsUserPrincipal) && getName().equals(((JimfsUserPrincipal) (obj)).getName()),97
com.google.common.jimfs.UserLookupService,Logic as Control Flow,return (obj instanceof JimfsGroupPrincipal) && ((JimfsGroupPrincipal) (obj)).name.equals(name),111
com.google.common.jimfs.JimfsOutputStream,Post Increment Decrement,file.write(pos++ ((byte) (b))),59
com.google.common.jimfs.JimfsOutputStream,Type Conversion,(byte) b,59
com.google.common.jimfs.AbstractWatchService,Logic as Control Flow,return (kind().equals(other.kind()) && (count() == other.count())) && Objects.equals(context() other.context()),174
com.google.common.jimfs.AbstractWatchService,Logic as Control Flow,(kind().equals(other.kind()) && (count() == other.count())) && Objects.equals(context() other.context()),174
com.google.common.jimfs.AbstractWatchService,Logic as Control Flow,return watcher.isOpen() && valid.get(),257
com.google.common.jimfs.AbstractWatchService,Logic as Control Flow,if (isValid() && state.compareAndSet(State.SIGNALLED State.READY)) {     if (!events.isEmpty()) {         signal();     } },278
com.google.common.jimfs.JimfsFileStore,Conditional Operator,entry == null ? null : ((Directory) (entry.file())),108
com.google.common.jimfs.Directory,Post Increment Decrement,table[index++],346
com.google.common.jimfs.Directory,Conditional Operator,entry != null ? entry : endOfData(),349
com.google.common.jimfs.Directory,Type Conversion,(int) (INITIAL_CAPACITY * 0.75),179
com.google.common.jimfs.JimfsFileSystems,Logic as Control Flow,if ((!path.isAbsolute()) && (path.getNameCount() == 0)) {     throw new IllegalArgumentException("Invalid root path: " + root); },97
com.google.common.jimfs.PathService,Infix Operator Precedence,31 * hash + getFileSystem().hashCode(),206
com.google.common.jimfs.PathService,Infix Operator Precedence,31 * hash + (root == null ? 0 : root.hashCode()),213
com.google.common.jimfs.PathService,Infix Operator Precedence,31 * hash + name.hashCode(),215
com.google.common.jimfs.PathService,Infix Operator Precedence,31 * hash + (root == null ? 0 : root.toString().hashCode()),219
com.google.common.jimfs.PathService,Infix Operator Precedence,31 * hash + name.toString().hashCode(),221
com.google.common.jimfs.PathService,Conditional Operator,(equalityUsesCanonicalForm) ? CANONICAL_ROOT_ORDERING : DISPLAY_ROOT_ORDERING,89
com.google.common.jimfs.PathService,Conditional Operator,(equalityUsesCanonicalForm) ? CANONICAL_NAMES_ORDERING : DISPLAY_NAMES_ORDERING,91
com.google.common.jimfs.PathService,Conditional Operator,(parsed.root() == null) ? null : name(parsed.root()),187
com.google.common.jimfs.PathService,Conditional Operator,(root == null) ? null : root.toString(),195
com.google.common.jimfs.PathService,Conditional Operator,(root == null ? 0 : root.hashCode()),213
com.google.common.jimfs.PathService,Conditional Operator,(root == null ? 0 : root.toString().hashCode()),219
com.google.common.jimfs.PathService,Conditional Operator,equalityUsesCanonicalForm ? canonicalNormalizations : displayNormalizations,259
com.google.common.jimfs.PathService,Logic as Control Flow,if ((root == null) && nameList.isEmpty()) {     return emptyPath(); },167
com.google.common.jimfs.DirectoryEntry,Logic as Control Flow,return (directory.equals(other.directory) && name.equals(other.name)) && Objects.equals(file other.file),147
com.google.common.jimfs.DirectoryEntry,Logic as Control Flow,(directory.equals(other.directory) && name.equals(other.name)) && Objects.equals(file other.file),147
com.google.common.jimfs.FileTree,Conditional Operator,dir == null ? null : dir.entryInParent(),69
com.google.common.jimfs.FileTree,Conditional Operator,(file == null) || (!file.isDirectory()) ? null : ((Directory) (file)),214
com.google.common.jimfs.FileTree,Logic as Control Flow,if ((!options.contains(LinkOption.NOFOLLOW_LINKS)) && file.isSymbolicLink()) {     return followSymbolicLink(dir ((SymbolicLink) (file)) linkDepth); },169
com.google.common.jimfs.FileTree,Logic as Control Flow,if (name.equals(Name.SELF) || name.equals(Name.PARENT)) {     Directory dir = toDirectory(entry.file());     assert dir != null;     return dir.entryInParent(); } else {     return entry; },203
com.google.common.jimfs.FileTree,Logic as Control Flow,(file == null) || (!file.isDirectory()) ? null : ((Directory) (file)),214
com.google.common.jimfs.FileTree,Logic as Control Flow,return names.isEmpty() || ((names.size() == 1) && names.get(0).toString().isEmpty()),219
com.google.common.jimfs.FileTree,Logic as Control Flow,names.isEmpty() || ((names.size() == 1) && names.get(0).toString().isEmpty()),219
com.google.common.jimfs.HeapDisk,Conditional Operator,(config.maxCacheSize == (-1)) ? maxBlockCount : toBlockCount(config.maxCacheSize blockSize),60
com.google.common.jimfs.Util,Conditional Operator,b == n ? n : b << 1,40
com.google.common.jimfs.UnixAttributeProvider,Change of Literal Encoding,result |= 0400,138
com.google.common.jimfs.UnixAttributeProvider,Change of Literal Encoding,result |= 0200,141
