Class,Atom,Snippet,Line
com.squareup.moshi.JsonAdapter,Logic as Control Flow,if ((!isLenient()) && (reader.peek() != JsonReader.Token.END_DOCUMENT)) {     throw new JsonDataException("JSON document was not fully consumed."); },71
com.squareup.moshi.JsonUtf8Writer,Infix Operator Precedence,size > 1 || size == 1 && scopes[size - 1] != NONEMPTY_DOCUMENT,350
com.squareup.moshi.JsonUtf8Writer,Conditional Operator,(!indent.isEmpty()) ? ": " : ":",82
com.squareup.moshi.JsonUtf8Writer,Conditional Operator,value ? "true" : "false",228
com.squareup.moshi.JsonUtf8Writer,Logic as Control Flow,if ((!lenient) && (Double.isNaN(value) || Double.isInfinite(value))) {     throw new IllegalArgumentException("Numeric values must be finite but was " + value); },243
com.squareup.moshi.JsonUtf8Writer,Logic as Control Flow,(!lenient) && (Double.isNaN(value) || Double.isInfinite(value)),243
com.squareup.moshi.JsonUtf8Writer,Logic as Control Flow,if ((!lenient) && ((string.equals("-Infinity") || string.equals("Infinity")) || string.equals("NaN"))) {     throw new IllegalArgumentException("Numeric values must be finite but was " + value); },277
com.squareup.moshi.JsonUtf8Writer,Logic as Control Flow,(!lenient) && ((string.equals("-Infinity") || string.equals("Infinity")) || string.equals("NaN")),278
com.squareup.moshi.JsonUtf8Writer,Logic as Control Flow,((string.equals("-Infinity") || string.equals("Infinity")) || string.equals("NaN")),278
com.squareup.moshi.Types,Conditional Operator,(type == null) ? "null" : type.getClass().getName(),189
com.squareup.moshi.Types,Conditional Operator,(pa instanceof ParameterizedTypeImpl) ? ((ParameterizedTypeImpl) (pa)).typeArguments : pa.getActualTypeArguments(),233
com.squareup.moshi.Types,Conditional Operator,(pb instanceof ParameterizedTypeImpl) ? ((ParameterizedTypeImpl) (pb)).typeArguments : pb.getActualTypeArguments(),237
com.squareup.moshi.Types,Logic as Control Flow,return (equals(pa.getOwnerType() pb.getOwnerType()) && pa.getRawType().equals(pb.getRawType())) && Arrays.equals(aTypeArguments bTypeArguments),240
com.squareup.moshi.Types,Logic as Control Flow,(equals(pa.getOwnerType() pb.getOwnerType()) && pa.getRawType().equals(pb.getRawType())) && Arrays.equals(aTypeArguments bTypeArguments),240
com.squareup.moshi.Types,Logic as Control Flow,return Arrays.equals(wa.getUpperBounds() wb.getUpperBounds()) && Arrays.equals(wa.getLowerBounds() wb.getLowerBounds()),258
com.squareup.moshi.Types,Logic as Control Flow,return (va.getGenericDeclaration() == vb.getGenericDeclaration()) && va.getName().equals(vb.getName()),265
com.squareup.moshi.JsonWriter,Post Increment Decrement,scopes[stackSize++],215
com.squareup.moshi.JsonWriter,Conditional Operator,(!indent.isEmpty()) ? indent : null,231
com.squareup.moshi.JsonWriter,Conditional Operator,indent != null ? indent : "",240
com.squareup.moshi.JsonWriter,Conditional Operator,key == null ? "Map keys must be non-null" : "Map keys must be of type String: " + key.getClass().getName(),415
com.squareup.moshi.JsonValueWriter,Infix Operator Precedence,size > 1 || size == 1 && scopes[size - 1] != NONEMPTY_DOCUMENT,48
com.squareup.moshi.JsonValueWriter,Infix Operator Precedence,size > 1 || size == 1 && scopes[size - 1] != NONEMPTY_DOCUMENT,284
com.squareup.moshi.JsonValueWriter,Conditional Operator,(value instanceof BigDecimal) ? ((BigDecimal) (value)) : new BigDecimal(value.toString()),237
com.squareup.moshi.JsonValueWriter,Logic as Control Flow,if ((!lenient) && ((Double.isNaN(value) || (value == NEGATIVE_INFINITY)) || (value == POSITIVE_INFINITY))) {     throw new IllegalArgumentException("Numeric values must be finite but was " + value); },192
com.squareup.moshi.Moshi,Post Increment Decrement,factories.add(lastOffset++ factory),217
com.squareup.moshi.Moshi,Conditional Operator,annotations.isEmpty() && Util.typesMatch(type targetType) ? jsonAdapter : null,261
com.squareup.moshi.Moshi,Conditional Operator,hit.adapter != null ? hit.adapter : hit,329
com.squareup.moshi.Moshi,Conditional Operator,adapter != null ? adapter.toString() : super.toString(),419
com.squareup.moshi.Moshi,Logic as Control Flow,annotations.isEmpty() && Util.typesMatch(type targetType) ? jsonAdapter : null,261
com.squareup.moshi.Moshi,Logic as Control Flow,if ((Util.typesMatch(type targetType) && (annotations.size() == 1)) && Util.isAnnotationPresent(annotations annotation)) {     return jsonAdapter; },284
com.squareup.moshi.Moshi,Logic as Control Flow,(Util.typesMatch(type targetType) && (annotations.size() == 1)) && Util.isAnnotationPresent(annotations annotation),284
com.squareup.moshi.Moshi,Logic as Control Flow,if ((size == 1) && (stack.getFirst().fieldName == null))     return e; ,377
com.squareup.moshi.JsonValueSource,Conditional Operator,(stackSize > 0) ? STATE_JSON : STATE_END_OF_JSON,163
com.squareup.moshi.JsonValueSource,Conditional Operator,suffixResult != (-1L) ? suffixResult + prefixResult : prefixResult,209
com.squareup.moshi.JsonValueReader,Post Increment Decrement,stack[stackSize++],60
com.squareup.moshi.JsonValueReader,Post Increment Decrement,stack[stackSize++],389
com.squareup.moshi.JsonValueReader,Post Increment Decrement,array[next++],455
com.squareup.moshi.JsonValueReader,Conditional Operator,(stackSize != 0) ? stack[stackSize - 1] : null,196
com.squareup.moshi.JsonValueReader,Conditional Operator,(stackSize != 0) ? stack[stackSize - 1] : null,213
com.squareup.moshi.JsonValueReader,Conditional Operator,(stackSize != 0) ? stack[stackSize - 1] : null,331
com.squareup.moshi.JsonValueReader,Conditional Operator,(stackSize != 0) ? stack[stackSize - 1] : null,397
com.squareup.moshi.JsonValueReader,Logic as Control Flow,if ((peeked.endToken != Token.END_ARRAY) || peeked.hasNext()) {     throw typeMismatch(peeked Token.END_ARRAY); },94
com.squareup.moshi.JsonValueReader,Logic as Control Flow,if ((peeked.endToken != Token.END_OBJECT) || peeked.hasNext()) {     throw typeMismatch(peeked Token.END_OBJECT); },118
com.squareup.moshi.JsonValueReader,Logic as Control Flow,return (!(peeked instanceof Iterator)) || ((Iterator) (peeked)).hasNext(),130
com.squareup.moshi.JsonValueReader,Logic as Control Flow,if ((!lenient) && (Double.isNaN(result) || Double.isInfinite(result))) {     throw new JsonEncodingException((("JSON forbids NaN and infinities: " + result) + " at path ") + getPath()); },262
com.squareup.moshi.JsonValueReader,Logic as Control Flow,(!lenient) && (Double.isNaN(result) || Double.isInfinite(result)),262
com.squareup.moshi.JsonValueReader,Logic as Control Flow,if ((parent instanceof Iterator) && ((Iterator<?>) (parent)).hasNext()) {     push(((Iterator<?>) (parent)).next()); },431
com.squareup.moshi.JsonUtf8Reader,Infix Operator Precedence,value * 10 - (c - '0'),494
com.squareup.moshi.JsonUtf8Reader,Post Increment Decrement,buffer.getByte(p++),1098
com.squareup.moshi.JsonUtf8Reader,Conditional Operator,(negative) ? value : -value,512
com.squareup.moshi.JsonUtf8Reader,Conditional Operator,(p == PEEKED_DOUBLE_QUOTED) ? nextQuotedValue(DOUBLE_QUOTE_OR_SLASH) : nextQuotedValue(SINGLE_QUOTE_OR_SLASH),823
com.squareup.moshi.JsonUtf8Reader,Conditional Operator,i != (-1) ? buffer.readUtf8(i) : buffer.readUtf8(),891
com.squareup.moshi.JsonUtf8Reader,Conditional Operator,i != (-1L) ? i : buffer.size(),911
com.squareup.moshi.JsonUtf8Reader,Conditional Operator,(p == PEEKED_DOUBLE_QUOTED) ? nextQuotedValue(DOUBLE_QUOTE_OR_SLASH) : nextQuotedValue(SINGLE_QUOTE_OR_SLASH),937
com.squareup.moshi.JsonUtf8Reader,Conditional Operator,index != (-1) ? index + 1 : buffer.size(),1162
com.squareup.moshi.JsonUtf8Reader,Conditional Operator,found ? index + CLOSING_BLOCK_COMMENT.size() : buffer.size(),1169
com.squareup.moshi.JsonUtf8Reader,Logic as Control Flow,if (source.request(1) && (buffer.getByte(0) == '>')) {     buffer.readByte(); },312
com.squareup.moshi.JsonUtf8Reader,Logic as Control Flow,if ((c != keyword.charAt(i)) && (c != keywordUpper.charAt(i))) {     return PEEKED_NONE; },417
