Class,Atom,Snippet,Line
com.yalantis.ucrop.model.ExifInfo,Infix Operator Precedence,31 * result + mExifDegrees,58
com.yalantis.ucrop.model.ExifInfo,Infix Operator Precedence,31 * result + mExifTranslation,59
com.yalantis.ucrop.model.ExifInfo,Logic as Control Flow,if ((o == null) || (getClass() != o.getClass()))     return false; ,45
com.yalantis.ucrop.util.BitmapLoadUtils,Logic as Control Flow,return (uri != null) && CONTENT_SCHEME.equals(uri.getScheme()),177
com.yalantis.ucrop.util.RectUtils,Conditional Operator,(x < r.left) ? x : r.left,63
com.yalantis.ucrop.util.RectUtils,Conditional Operator,(y < r.top) ? y : r.top,64
com.yalantis.ucrop.util.RectUtils,Conditional Operator,(x > r.right) ? x : r.right,65
com.yalantis.ucrop.util.RectUtils,Conditional Operator,(y > r.bottom) ? y : r.bottom,66
com.yalantis.ucrop.view.OverlayView,Infix Operator Precedence,(mCropGridRowCount) * 4 + (mCropGridColumnCount) * 4,475
com.yalantis.ucrop.view.OverlayView,Infix Operator Precedence,(mCropGridRowCount) * 4 + (mCropGridColumnCount) * 4,475
com.yalantis.ucrop.view.OverlayView,Post Increment Decrement,mGridPoints[index++],479
com.yalantis.ucrop.view.OverlayView,Post Increment Decrement,mGridPoints[index++],480
com.yalantis.ucrop.view.OverlayView,Post Increment Decrement,mGridPoints[index++],481
com.yalantis.ucrop.view.OverlayView,Post Increment Decrement,mGridPoints[index++],482
com.yalantis.ucrop.view.OverlayView,Post Increment Decrement,mGridPoints[index++],486
com.yalantis.ucrop.view.OverlayView,Post Increment Decrement,mGridPoints[index++],487
com.yalantis.ucrop.view.OverlayView,Post Increment Decrement,mGridPoints[index++],488
com.yalantis.ucrop.view.OverlayView,Post Increment Decrement,mGridPoints[index++],489
com.yalantis.ucrop.view.OverlayView,Conditional Operator,(freestyleCropEnabled) ? FREESTYLE_CROP_MODE_ENABLE : FREESTYLE_CROP_MODE_DISABLE,121
com.yalantis.ucrop.view.OverlayView,Conditional Operator,changeWidth ? mTempRect.left : mCropViewRect.left,389
